#  Created by D.Norcini                  #
#  Version 0 (10/13/16)                  #
#  Key:                                  #
#  [Energy] antineutrino energy in MeV   #
#  [Xsection] IBD cross-section in cm^2  #
#  [Flux] antineutrinos emitted per GJ   #
#
#  Energy Xsection         Flux          #
   2.264  7.632366136e-44  4.266850893e+16  
   2.265  7.651106576e-44  4.262622101e+16  
   2.266  7.669865125e-44  4.262622101e+16  
   2.267  7.688641786e-44  4.258393309e+16  
   2.268  7.707436566e-44  4.258393309e+16  
   2.269  7.726249469e-44  4.254164517e+16  
   2.27   7.7450805e-44    4.254164517e+16  
   2.271  7.763929664e-44  4.254164517e+16  
   2.272  7.782796966e-44  4.249935726e+16  
   2.273  7.801682411e-44  4.249935726e+16  
   2.274  7.820586003e-44  4.245706934e+16  
   2.275  7.839507747e-44  4.245706934e+16  
   2.276  7.858447648e-44  4.241478142e+16  
   2.277  7.87740571e-44   4.23724935e+16   
   2.278  7.896381939e-44  4.23724935e+16   
   2.279  7.915376338e-44  4.233020558e+16  
   2.28   7.934388913e-44  4.177200507e+16  
   2.281  7.953419668e-44  4.174663232e+16  
   2.282  7.972468607e-44  4.172125957e+16  
   2.283  7.991535735e-44  4.170857319e+16  
   2.284  8.010621057e-44  4.159439582e+16  
   2.285  8.029724576e-44  4.157748065e+16  
   2.286  8.048846298e-44  4.156479427e+16  
   2.287  8.067986226e-44  4.154787911e+16  
   2.288  8.087144366e-44  4.153096394e+16  
   2.289  8.10632072e-44   4.151404877e+16  
   2.29   8.125515294e-44  4.15013624e+16   
   2.291  8.144728092e-44  4.146753206e+16  
   2.292  8.163959118e-44  4.144638811e+16  
   2.293  8.183208376e-44  4.142947294e+16  
   2.294  8.20247587e-44   4.141678656e+16  
   2.295  8.221761605e-44  4.13998714e+16   
   2.296  8.241065584e-44  4.138718502e+16  
   2.297  8.260387812e-44  4.136181227e+16  
   2.298  8.279728293e-44  4.134912589e+16  
   2.299  8.299087031e-44  4.133221073e+16  
   2.3    8.318464029e-44  4.131952435e+16  
   2.301  8.337859292e-44  4.128146523e+16  
   2.302  8.357272824e-44  4.121380456e+16  
   2.303  8.376704628e-44  4.119688939e+16  
   2.304  8.396154709e-44  4.118420302e+16  
   2.305  8.41562307e-44   4.116728785e+16  
   2.306  8.435109715e-44  4.115037268e+16  
   2.307  8.454614649e-44  4.113768631e+16  
   2.308  8.474137874e-44  4.112077114e+16  
   2.309  8.493679394e-44  4.109962718e+16  
   2.31   8.513239214e-44  4.108271201e+16  
   2.311  8.532817337e-44  4.105311047e+16  
   2.312  8.552413767e-44  4.10404241e+16   
   2.313  8.572028507e-44  4.102350893e+16  
   2.314  8.591661561e-44  4.101082255e+16  
   2.315  8.611312933e-44  4.098122101e+16  
   2.316  8.630982626e-44  4.086704363e+16  
   2.317  8.650670644e-44  4.027924158e+16  
   2.318  8.67037699e-44   4.026232641e+16  
   2.319  8.690101668e-44  4.024964004e+16  
   2.32   8.709844682e-44  4.023695366e+16  
   2.321  8.729606034e-44  4.011008991e+16  
   2.322  8.749385729e-44  4.009317474e+16  
   2.323  8.76918377e-44   4.005934441e+16  
   2.324  8.789000159e-44  4.004242924e+16  
   2.325  8.808834902e-44  4.002974286e+16  
   2.326  8.828688e-44     4.00128277e+16   
   2.327  8.848559457e-44  3.999591253e+16  
