# Created by O. Kyzylova
# U235 cross-section and spectrum from Huber model
# 0-2, 8-10 MeV - parametrization based on parametrization formula from Huber article
# 2-8 MeV - spline interpolation based on table data points from Huber article
# AntiNuEnergy	IBDCrossSection	AntiNuFlux


7.425	3.5672E-42	1.65389E15
7.435	3.57889E-42	1.62289E15
7.445	3.59059E-42	1.59189E15
7.455	3.60232E-42	1.56089E15
7.465	3.61406E-42	1.52989E15
7.475	3.62582E-42	1.49889E15
7.485	3.6376E-42	1.46789E15
7.495	3.6494E-42	1.43689E15
7.505	3.66122E-42	1.41115E15
7.515	3.67305E-42	1.39069E15
7.525	3.68491E-42	1.37023E15
7.535	3.69679E-42	1.34976E15
7.545	3.70868E-42	1.3293E15
7.555	3.72059E-42	1.30884E15
7.565	3.73253E-42	1.28838E15
7.575	3.74448E-42	1.26791E15
7.585	3.75645E-42	1.24745E15
7.595	3.76844E-42	1.22699E15
7.605	3.78045E-42	1.20652E15
7.615	3.79247E-42	1.18606E15
7.625	3.80452E-42	1.1656E15
7.635	3.81659E-42	1.14513E15
7.645	3.82867E-42	1.12467E15
7.655	3.84077E-42	1.10421E15
7.665	3.8529E-42	1.08374E15
7.675	3.86504E-42	1.06328E15
