#  Created by D.Norcini                  #
#  Version 0 (10/13/16)                  #
#  Key:                                  #
#  [Energy] antineutrino energy in MeV   #
#  [Xsection] IBD cross-section in cm^2  #
#  [Flux] antineutrinos emitted per GJ   #
#
#  Energy Xsection         Flux          #
   2.458  1.161151146e-43  3.626107376e+16  
   2.459  1.163382911e-43  3.623905377e+16  
   2.46   1.165616543e-43  3.621704056e+16  
   2.461  1.167852041e-43  3.619503413e+16  
   2.462  1.170089406e-43  3.617303449e+16  
   2.463  1.172328638e-43  3.615104164e+16  
   2.464  1.174569737e-43  3.612905559e+16  
   2.465  1.176812703e-43  3.610707634e+16  
   2.466  1.179057537e-43  3.60851039e+16   
   2.467  1.181304238e-43  3.606313826e+16  
   2.468  1.183552807e-43  3.604117943e+16  
   2.469  1.185803244e-43  3.601922741e+16  
   2.47   1.188055549e-43  3.599728222e+16  
   2.471  1.190309721e-43  3.597534385e+16  
   2.472  1.192565763e-43  3.59534123e+16   
   2.473  1.194823672e-43  3.593148759e+16  
   2.474  1.19708345e-43   3.590956971e+16  
   2.475  1.199345097e-43  3.588765867e+16  
   2.476  1.201608613e-43  3.586575447e+16  
   2.477  1.203873997e-43  3.584385711e+16  
   2.478  1.206141251e-43  3.582196661e+16  
   2.479  1.208410374e-43  3.580008296e+16  
   2.48   1.210681366e-43  3.577820617e+16  
   2.481  1.212954228e-43  3.575633623e+16  
   2.482  1.21522896e-43   3.573447316e+16  
   2.483  1.217505561e-43  3.571261696e+16  
   2.484  1.219784033e-43  3.569076764e+16  
   2.485  1.222064374e-43  3.566892518e+16  
   2.486  1.224346586e-43  3.564708961e+16  
   2.487  1.226630668e-43  3.562526092e+16  
   2.488  1.228916621e-43  3.560343912e+16  
   2.489  1.231204444e-43  3.558162421e+16  
   2.49   1.233494138e-43  3.555981619e+16  
   2.491  1.235785703e-43  3.553801507e+16  
   2.492  1.238079138e-43  3.551622086e+16  
   2.493  1.240374445e-43  3.549443355e+16  
   2.494  1.242671624e-43  3.547265315e+16  
   2.495  1.244970673e-43  3.545087966e+16  
   2.496  1.247271594e-43  3.542911309e+16  
   2.497  1.249574387e-43  3.540735343e+16  
   2.498  1.251879052e-43  3.538560071e+16  
   2.499  1.254185588e-43  3.536385491e+16  
   2.5    1.256493997e-43  3.534211604e+16  
   2.501  1.258804278e-43  3.532038411e+16  
   2.502  1.261116431e-43  3.529865911e+16  
   2.503  1.263430456e-43  3.527694106e+16  
   2.504  1.265746354e-43  3.525522995e+16  
   2.505  1.268064125e-43  3.52335258e+16   
   2.506  1.270383768e-43  3.521182859e+16  
   2.507  1.272705284e-43  3.519013835e+16  
   2.508  1.275028674e-43  3.516845506e+16  
   2.509  1.277353936e-43  3.514677874e+16  
   2.51   1.279681072e-43  3.512510938e+16  
   2.511  1.282010081e-43  3.5103447e+16    
   2.512  1.284340964e-43  3.508179159e+16  
   2.513  1.28667372e-43   3.506014316e+16  
   2.514  1.28900835e-43   3.503850171e+16  
   2.515  1.291344853e-43  3.501686725e+16  
   2.516  1.293683231e-43  3.499523977e+16  
   2.517  1.296023483e-43  3.497361929e+16  
   2.518  1.298365609e-43  3.49520058e+16   
   2.519  1.300709609e-43  3.493039932e+16  
   2.52   1.303055484e-43  3.490879984e+16  
   2.521  1.305403233e-43  3.488720736e+16  
   2.522  1.307752857e-43  3.486562189e+16  
   2.523  1.310104356e-43  3.484404344e+16  
   2.524  1.312457729e-43  3.482247201e+16  
   2.525  1.314812978e-43  3.480090759e+16  
   2.526  1.317170101e-43  3.47793502e+16   
   2.527  1.3195291e-43    3.475779984e+16  
   2.528  1.321889974e-43  3.473625651e+16  
   2.529  1.324252724e-43  3.471472022e+16  
   2.53   1.326617349e-43  3.469319096e+16  
   2.531  1.32898385e-43   3.467166874e+16  
   2.532  1.331352226e-43  3.465015357e+16  
   2.533  1.333722478e-43  3.462864545e+16  
   2.534  1.336094607e-43  3.460714438e+16  
   2.535  1.338468611e-43  3.458565037e+16  
   2.536  1.340844491e-43  3.456416341e+16  
   2.537  1.343222248e-43  3.454268352e+16  
   2.538  1.345601881e-43  3.452121069e+16  
   2.539  1.347983391e-43  3.449974493e+16  
   2.54   1.350366777e-43  3.447828625e+16  
   2.541  1.35275204e-43   3.445683464e+16  
   2.542  1.355139179e-43  3.443539011e+16  
   2.543  1.357528196e-43  3.441395266e+16  
   2.544  1.359919089e-43  3.43925223e+16   
   2.545  1.36231186e-43   3.437109903e+16  
   2.546  1.364706507e-43  3.434968285e+16  
   2.547  1.367103032e-43  3.432827377e+16  
   2.548  1.369501435e-43  3.430687179e+16  
   2.549  1.371901715e-43  3.428547691e+16  
   2.55   1.374303872e-43  3.426408913e+16  
   2.551  1.376707907e-43  3.424270847e+16  
   2.552  1.37911382e-43   3.422133492e+16  
   2.553  1.381521611e-43  3.419996849e+16  
   2.554  1.38393128e-43   3.417860918e+16  
   2.555  1.386342827e-43  3.415725699e+16  
   2.556  1.388756252e-43  3.413591192e+16  
   2.557  1.391171555e-43  3.411457399e+16  
   2.558  1.393588737e-43  3.409324319e+16  
   2.559  1.396007797e-43  3.407191953e+16  
   2.56   1.398428735e-43  3.4050603e+16    
   2.561  1.400851552e-43  3.402929362e+16  
